warning: `VIRTUAL_ENV=/opt/homebrew/opt/python@3.13/Frameworks/Python.framework/Versions/3.13` does not match the project environment path `.venv` and will be ignored; use `--active` to target the active environment instead
Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 11,534,472
Estimated FLOPs per token: 5.662387e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010973 | lrm: 1.00 | dt: 1080ms | tok/sec: 30,342 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.083334 | lrm: 1.00 | dt: 575ms | tok/sec: 56,992 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.033645 | lrm: 1.00 | dt: 569ms | tok/sec: 57,626 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.786590 | lrm: 1.00 | dt: 558ms | tok/sec: 58,698 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.504376 | lrm: 1.00 | dt: 550ms | tok/sec: 59,617 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.285370 | lrm: 1.00 | dt: 550ms | tok/sec: 59,572 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.100784 | lrm: 1.00 | dt: 548ms | tok/sec: 59,780 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.942751 | lrm: 1.00 | dt: 548ms | tok/sec: 59,767 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.797296 | lrm: 1.00 | dt: 556ms | tok/sec: 58,884 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.657814 | lrm: 1.00 | dt: 573ms | tok/sec: 57,145 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.530397 | lrm: 1.00 | dt: 574ms | tok/sec: 57,069 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.398400 | lrm: 1.00 | dt: 552ms | tok/sec: 59,344 | mfu: 0.3% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 7.283058 | lrm: 1.00 | dt: 583ms | tok/sec: 56,213 | mfu: 0.3% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 7.173245 | lrm: 1.00 | dt: 634ms | tok/sec: 51,652 | mfu: 0.3% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 7.066883 | lrm: 1.00 | dt: 631ms | tok/sec: 51,923 | mfu: 0.3% | epoch: 1 | remaining: 298s    
step 00015 (0.8%) | loss: 6.974352 | lrm: 1.00 | dt: 637ms | tok/sec: 51,475 | mfu: 0.3% | epoch: 1 | remaining: 297s    
step 00016 (1.0%) | loss: 6.883756 | lrm: 1.00 | dt: 656ms | tok/sec: 49,974 | mfu: 0.3% | epoch: 1 | remaining: 296s    
step 00017 (1.2%) | loss: 6.803988 | lrm: 1.00 | dt: 646ms | tok/sec: 50,728 | mfu: 0.3% | epoch: 1 | remaining: 296s    
step 00018 (1.4%) | loss: 6.736793 | lrm: 1.00 | dt: 632ms | tok/sec: 51,837 | mfu: 0.3% | epoch: 1 | remaining: 295s    
step 00113 (22.1%) | loss: 5.057899 | lrm: 1.00 | dt: 659ms | tok/sec: 49,724 | mfu: 0.3% | epoch: 1 | remaining: 233s    
step 00114 (22.3%) | loss: 5.047339 | lrm: 1.00 | dt: 671ms | tok/sec: 48,843 | mfu: 0.3% | epoch: 1 | remaining: 232s    
step 00115 (22.5%) | loss: 5.034363 | lrm: 1.00 | dt: 658ms | tok/sec: 49,808 | mfu: 0.3% | epoch: 1 | remaining: 232s    
step 00116 (22.8%) | loss: 5.012789 | lrm: 1.00 | dt: 661ms | tok/sec: 49,601 | mfu: 0.3% | epoch: 1 | remaining: 231s    
step 00117 (23.0%) | loss: 5.003698 | lrm: 1.00 | dt: 681ms | tok/sec: 48,134 | mfu: 0.3% | epoch: 1 | remaining: 230s    
step 00118 (23.2%) | loss: 4.989095 | lrm: 1.00 | dt: 664ms | tok/sec: 49,359 | mfu: 0.3% | epoch: 1 | remaining: 230s    
step 00119 (23.4%) | loss: 4.981699 | lrm: 1.00 | dt: 671ms | tok/sec: 48,800 | mfu: 0.3% | epoch: 1 | remaining: 229s    
step 00120 (23.6%) | loss: 4.968470 | lrm: 1.00 | dt: 657ms | tok/sec: 49,837 | mfu: 0.3% | epoch: 1 | remaining: 228s    
step 00121 (23.9%) | loss: 4.962432 | lrm: 1.00 | dt: 700ms | tok/sec: 46,781 | mfu: 0.3% | epoch: 1 | remaining: 228s    
step 00122 (24.1%) | loss: 4.953353 | lrm: 1.00 | dt: 657ms | tok/sec: 49,864 | mfu: 0.3% | epoch: 1 | remaining: 227s    
step 00123 (24.3%) | loss: 4.944505 | lrm: 1.00 | dt: 674ms | tok/sec: 48,621 | mfu: 0.3% | epoch: 1 | remaining: 226s    
step 00124 (24.5%) | loss: 4.931013 | lrm: 1.00 | dt: 663ms | tok/sec: 49,399 | mfu: 0.3% | epoch: 1 | remaining: 226s    
step 00125 (24.8%) | loss: 4.920225 | lrm: 1.00 | dt: 665ms | tok/sec: 49,299 | mfu: 0.3% | epoch: 1 | remaining: 225s    
step 00126 (25.0%) | loss: 4.906879 | lrm: 1.00 | dt: 673ms | tok/sec: 48,682 | mfu: 0.3% | epoch: 1 | remaining: 224s    
step 00127 (25.2%) | loss: 4.900495 | lrm: 1.00 | dt: 650ms | tok/sec: 50,374 | mfu: 0.3% | epoch: 1 | remaining: 224s    
step 00128 (25.4%) | loss: 4.888197 | lrm: 1.00 | dt: 672ms | tok/sec: 48,744 | mfu: 0.3% | epoch: 1 | remaining: 223s    
step 00129 (25.6%) | loss: 4.876302 | lrm: 1.00 | dt: 662ms | tok/sec: 49,519 | mfu: 0.3% | epoch: 1 | remaining: 222s    
step 00130 (25.9%) | loss: 4.870736 | lrm: 1.00 | dt: 666ms | tok/sec: 49,172 | mfu: 0.3% | epoch: 1 | remaining: 222s    
step 00131 (26.1%) | loss: 4.850389 | lrm: 1.00 | dt: 651ms | tok/sec: 50,366 | mfu: 0.3% | epoch: 1 | remaining: 221s    
step 00132 (26.3%) | loss: 4.834392 | lrm: 1.00 | dt: 671ms | tok/sec: 48,850 | mfu: 0.3% | epoch: 1 | remaining: 220s    
step 00133 (26.5%) | loss: 4.822038 | lrm: 1.00 | dt: 658ms | tok/sec: 49,815 | mfu: 0.3% | epoch: 1 | remaining: 220s    
step 00134 (26.7%) | loss: 4.820431 | lrm: 1.00 | dt: 666ms | tok/sec: 49,164 | mfu: 0.3% | epoch: 1 | remaining: 219s    
step 00135 (27.0%) | loss: 4.814225 | lrm: 1.00 | dt: 666ms | tok/sec: 49,223 | mfu: 0.3% | epoch: 1 | remaining: 218s    
step 00136 (27.2%) | loss: 4.815521 | lrm: 1.00 | dt: 674ms | tok/sec: 48,629 | mfu: 0.3% | epoch: 1 | remaining: 218s    
step 00137 (27.4%) | loss: 4.806585 | lrm: 1.00 | dt: 667ms | tok/sec: 49,144 | mfu: 0.3% | epoch: 1 | remaining: 217s    
step 00138 (27.6%) | loss: 4.790223 | lrm: 1.00 | dt: 658ms | tok/sec: 49,767 | mfu: 0.3% | epoch: 1 | remaining: 216s    
step 00139 (27.9%) | loss: 4.766838 | lrm: 1.00 | dt: 695ms | tok/sec: 47,114 | mfu: 0.3% | epoch: 1 | remaining: 216s    
step 00140 (28.1%) | loss: 4.752886 | lrm: 1.00 | dt: 692ms | tok/sec: 47,364 | mfu: 0.3% | epoch: 1 | remaining: 215s    
step 00141 (28.3%) | loss: 4.738729 | lrm: 1.00 | dt: 658ms | tok/sec: 49,834 | mfu: 0.3% | epoch: 1 | remaining: 214s    
step 00142 (28.5%) | loss: 4.739286 | lrm: 1.00 | dt: 674ms | tok/sec: 48,592 | mfu: 0.3% | epoch: 1 | remaining: 214s    
step 00143 (28.8%) | loss: 4.731922 | lrm: 1.00 | dt: 658ms | tok/sec: 49,815 | mfu: 0.3% | epoch: 1 | remaining: 213s    
step 00144 (29.0%) | loss: 4.730037 | lrm: 1.00 | dt: 662ms | tok/sec: 49,475 | mfu: 0.3% | epoch: 1 | remaining: 212s    
step 00145 (29.2%) | loss: 4.723179 | lrm: 1.00 | dt: 648ms | tok/sec: 50,559 | mfu: 0.3% | epoch: 1 | remaining: 212s    
step 00146 (29.4%) | loss: 4.720570 | lrm: 1.00 | dt: 655ms | tok/sec: 50,056 | mfu: 0.3% | epoch: 1 | remaining: 211s    
step 00147 (29.6%) | loss: 4.710560 | lrm: 1.00 | dt: 658ms | tok/sec: 49,765 | mfu: 0.3% | epoch: 1 | remaining: 210s    
step 00148 (29.9%) | loss: 4.692270 | lrm: 1.00 | dt: 666ms | tok/sec: 49,225 | mfu: 0.3% | epoch: 1 | remaining: 210s    
